,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
246,Zelmo Beaty,"Beaty, Zelmo",1962,Y,76133,HISTADD_bigz_beaty,0,,,,0,,1974
247,Rodrigue Beaubois,"Beaubois, Rodrigue",2009,Y,201958,rodrigue_beaubois,0,,,,0,,2012
248,Byron Beck,"Beck, Byron",1976,Y,76134,HISTADD_byron_beck,0,,,,0,,1976
249,Corey Beck,"Beck, Corey",1995,Y,1133,corey_beck,0,,,,0,,1998
250,Ernie Beck,"Beck, Ernie",1953,Y,76136,HISTADD_ernie_beck,0,,,,0,,1960
251,Moe Becker,"Becker, Moe",1946,Y,76137,HISTADD_moe_becker,0,,,,0,,1946
252,William Bedford,"Bedford, William",1986,Y,76138,HISTADD_william_bedford,0,,,,0,,1992
253,Hank Beenders,"Beenders, Hank",1946,Y,76139,HISTADD_hank_beenders,0,,,,0,,1948
254,Ron Behagen,"Behagen, Ron",1973,Y,76140,HISTADD_ron_behagen,0,,,,0,,1979
255,Elmer Behnke,"Behnke, Elmer",1951,Y,76141,HISTADD_elmer_behnke,0,,,,0,,1951
256,Marco Belinelli,"Belinelli, Marco",2007,Y,201158,marco_belinelli,1,SAC,Sacramento,kings,1610612758,Kings,2017
257,Charlie Bell,"Bell, Charlie",2001,Y,2294,charlie_bell,0,,,,0,,2010
258,Dennis Bell,"Bell, Dennis",1973,Y,76142,HISTADD_dennis_bell,0,,,,0,,1975
259,Jordan Bell,"Bell, Jordan",2017,Y,1628395,jordan_bell,0,,,,0,,2017
260,Raja Bell,"Bell, Raja",2000,Y,1952,raja_bell,0,,,,0,,2011
261,Troy Bell,"Bell, Troy",2003,Y,2559,troy_bell,0,,,,0,,2003
262,William Bell,"Bell, William",1959,Y,76143,HISTADD_whitey_bell,0,,,,0,,1960
263,Walt Bellamy,"Bellamy, Walt",1961,Y,76144,HISTADD_walt_bellamy,0,,,,0,,1974
264,DeAndre' Bembry,"Bembry, DeAndre'",2016,Y,1627761,deandre'_bembry,0,,,,0,,2017
265,Irv Bemoras,"Bemoras, Irv",1953,Y,76145,HISTADD_irv_bemoras,0,,,,0,,1956
266,Leon Benbow,"Benbow, Leon",1974,Y,76146,HISTADD_leon_benbow,0,,,,0,,1975
267,Dragan Bender,"Bender, Dragan",2016,Y,1627733,dragan_bender,0,,,,0,,2017
268,Jonathan Bender,"Bender, Jonathan",1999,Y,1886,jonathan_bender,0,,,,0,,2009
