(0, 4, 0)
(0, 4, 1)
(0, 4, 2)
(0, 4, 3)
(0, 4, 4)
(0, 4, 5)
(0, 4, 6)
(0, 4, 7)
(0, 4, 8)
(0, 4, 9)
(0, 4, 10)
(0, 4, 11)
(0, 4, 12)
(0, 4, 13)
(0, 4, 14)
(0, 4, 15)
(0, 4, 16)
(0, 4, 17)
(0, 4, 18)
(0, 4, 19)
(1, 8, 0)
(1, 8, 1)
(1, 8, 2)
(1, 8, 3)
(1, 8, 4)
(1, 8, 5)
(1, 8, 6)
(1, 8, 7)
(1, 8, 8)
(1, 8, 9)
(1, 8, 10)
(1, 8, 11)
(1, 8, 12)
(1, 8, 13)
(1, 8, 14)
(1, 8, 15)
(1, 8, 16)
(1, 8, 17)
(1, 8, 18)
(1, 8, 19)
(2, 16, 0)
(2, 16, 1)
(2, 16, 2)
(2, 16, 3)
(2, 16, 4)
(2, 16, 5)
(2, 16, 6)
(2, 16, 7)
(2, 16, 8)
(2, 16, 9)
(2, 16, 10)
(2, 16, 11)
(2, 16, 12)
(2, 16, 13)
(2, 16, 14)
(2, 16, 15)
(2, 16, 16)
(2, 16, 17)
(2, 16, 18)
(2, 16, 19)
(3, 32, 0)
(3, 32, 1)
(3, 32, 2)
(3, 32, 3)
(3, 32, 4)
(3, 32, 5)
(3, 32, 6)
(3, 32, 7)
(3, 32, 8)
(3, 32, 9)
(3, 32, 10)
(3, 32, 11)
(3, 32, 12)
(3, 32, 13)
(3, 32, 14)
(3, 32, 15)
(3, 32, 16)
(3, 32, 17)
(3, 32, 18)
(3, 32, 19)
(4, 64, 0)
(4, 64, 1)
(4, 64, 2)
(4, 64, 3)
(4, 64, 4)
(4, 64, 5)
(4, 64, 6)
(4, 64, 7)
(4, 64, 8)
(4, 64, 9)
(4, 64, 10)
(4, 64, 11)
(4, 64, 12)
(4, 64, 13)
(4, 64, 14)
(4, 64, 15)
(4, 64, 16)
(4, 64, 17)
(4, 64, 18)
(4, 64, 19)
(5, 128, 0)
(5, 128, 1)
(5, 128, 2)
(5, 128, 3)
(5, 128, 4)
(5, 128, 5)
(5, 128, 6)
(5, 128, 7)
(5, 128, 8)
(5, 128, 9)
(5, 128, 10)
(5, 128, 11)
(5, 128, 12)
(5, 128, 13)
(5, 128, 14)
(5, 128, 15)
(5, 128, 16)
(5, 128, 17)
(5, 128, 18)
(5, 128, 19)
(6, 256, 0)
(6, 256, 1)
(6, 256, 2)
(6, 256, 3)
(6, 256, 4)
(6, 256, 5)
(6, 256, 6)
(6, 256, 7)
(6, 256, 8)
(6, 256, 9)
(6, 256, 10)
(6, 256, 11)
(6, 256, 12)
(6, 256, 13)
(6, 256, 14)
(6, 256, 15)
(6, 256, 16)
(6, 256, 17)
(6, 256, 18)
(6, 256, 19)
(7, 512, 0)
(7, 512, 1)
(7, 512, 2)
(7, 512, 3)
(7, 512, 4)
(7, 512, 5)
(7, 512, 6)
(7, 512, 7)
(7, 512, 8)
(7, 512, 9)
(7, 512, 10)
(7, 512, 11)
(7, 512, 12)
(7, 512, 13)
(7, 512, 14)
(7, 512, 15)
(7, 512, 16)
(7, 512, 17)
(7, 512, 18)
(7, 512, 19)
(8, 1024, 0)
(8, 1024, 1)
(8, 1024, 2)
(8, 1024, 3)
(8, 1024, 4)
(8, 1024, 5)
(8, 1024, 6)
(8, 1024, 7)
(8, 1024, 8)
(8, 1024, 9)
(8, 1024, 10)
(8, 1024, 11)
(8, 1024, 12)
(8, 1024, 13)
(8, 1024, 14)
(8, 1024, 15)
(8, 1024, 16)
(8, 1024, 17)
(8, 1024, 18)
(8, 1024, 19)
(9, 2048, 0)
(9, 2048, 1)
(9, 2048, 2)
(9, 2048, 3)
(9, 2048, 4)
(9, 2048, 5)
(9, 2048, 6)
(9, 2048, 7)
(9, 2048, 8)
(9, 2048, 9)
(9, 2048, 10)
(9, 2048, 11)
(9, 2048, 12)
(9, 2048, 13)
(9, 2048, 14)
(9, 2048, 15)
(9, 2048, 16)
(9, 2048, 17)
(9, 2048, 18)
(9, 2048, 19)
